logged_at,ticket,symbol,requested_price,filled_price,requested_time,filled_time,slippage,delay_seconds,rejected
2026-07-20T03:05:50.195210+00:00,9626386255,XAUUSD,4019.86,4019.89,2026-07-20T03:05:50.102927+00:00,2026-07-20T03:05:50.193320+00:00,0.03,0.090393,False
2026-07-20T03:15:56.318787+00:00,9626502384,XAUUSD,4025.57,4025.55,2026-07-20T03:15:56.235327+00:00,2026-07-20T03:15:56.316319+00:00,-0.02,0.080992,False
2026-07-20T05:57:06.892964+00:00,9628328624,XAUUSD,4009.35,4009.35,2026-07-20T05:57:06.809454+00:00,2026-07-20T05:57:06.890150+00:00,0.0,0.080696,False
2026-07-20T07:22:43.384207+00:00,9629538168,XAUUSD,4006.2,4006.2,2026-07-20T07:22:43.277021+00:00,2026-07-20T07:22:43.382634+00:00,0.0,0.105613,False
2026-07-20T07:36:51.570224+00:00,9629881753,XAUUSD,4017.46,4017.46,2026-07-20T07:36:51.487392+00:00,2026-07-20T07:36:51.567704+00:00,0.0,0.080312,False
2026-07-20T10:00:06.688779+00:00,9632328250,XAUUSD,4021.25,4021.21,2026-07-20T10:00:06.605383+00:00,2026-07-20T10:00:06.687842+00:00,-0.04,0.082459,False
2026-07-20T11:31:45.628277+00:00,9633741084,XAUUSD,4033.19,4033.26,2026-07-20T11:31:45.511735+00:00,2026-07-20T11:31:45.625475+00:00,0.07,0.11374,False
2026-07-20T12:01:00.897565+00:00,9634517600,XAUUSD,4019.6,4019.9,2026-07-20T12:01:00.784794+00:00,2026-07-20T12:01:00.894860+00:00,0.3,0.110066,False
2026-07-20T12:01:01.492571+00:00,9634518064,XAUUSD,4019.83,4019.82,2026-07-20T12:01:01.408053+00:00,2026-07-20T12:01:01.490345+00:00,-0.01,0.082292,False
2026-07-20T12:47:20.757496+00:00,9635752267,XAUUSD,4014.12,4014.12,2026-07-20T12:47:20.663706+00:00,2026-07-20T12:47:20.755089+00:00,0.0,0.091383,False
2026-07-20T14:02:50.223508+00:00,9637533057,XAUUSD,4001.3,4001.3,2026-07-20T14:02:50.118612+00:00,2026-07-20T14:02:50.221133+00:00,0.0,0.102521,False
2026-07-20T16:50:13.814185+00:00,9640964770,XAUUSD,4007.98,4007.98,2026-07-20T16:50:13.741323+00:00,2026-07-20T16:50:13.813268+00:00,0.0,0.071945,False
2026-07-20T16:58:20.240039+00:00,9641065588,XAUUSD,4010.31,4010.3,2026-07-20T16:58:20.118750+00:00,2026-07-20T16:58:20.238981+00:00,-0.01,0.120231,False
2026-07-20T17:30:32.661268+00:00,9641490926,XAUUSD,4011.33,4011.24,2026-07-20T17:30:32.560608+00:00,2026-07-20T17:30:32.658126+00:00,-0.09,0.097518,False
2026-07-20T23:20:30.656580+00:00,9643964472,XAUUSD,4006.45,4006.45,2026-07-20T23:20:30.561004+00:00,2026-07-20T23:20:30.653566+00:00,0.0,0.092562,False
2026-07-20T23:32:37.838517+00:00,9644019670,XAUUSD,4005.69,4005.69,2026-07-20T23:32:37.758918+00:00,2026-07-20T23:32:37.836690+00:00,0.0,0.077772,False
2026-07-21T00:49:14.947786+00:00,9644632171,XAUUSD,4024.95,4024.95,2026-07-21T00:49:14.856481+00:00,2026-07-21T00:49:14.945523+00:00,0.0,0.089042,False
2026-07-21T00:49:15.526161+00:00,9644632318,XAUUSD,4024.95,4024.95,2026-07-21T00:49:15.445173+00:00,2026-07-21T00:49:15.524395+00:00,0.0,0.079222,False
2026-07-21T03:49:28.022114+00:00,9646567513,XAUUSD,4045.83,4045.83,2026-07-21T03:49:27.935801+00:00,2026-07-21T03:49:28.019842+00:00,0.0,0.084041,False
2026-07-21T03:49:28.672229+00:00,9646567638,XAUUSD,4045.78,4045.78,2026-07-21T03:49:28.592389+00:00,2026-07-21T03:49:28.669954+00:00,0.0,0.077565,False
2026-07-21T06:30:58.742180+00:00,9648675468,XAUUSD,4072.9,4072.9,2026-07-21T06:30:58.661689+00:00,2026-07-21T06:30:58.739691+00:00,0.0,0.078002,False
2026-07-21T10:00:39.147609+00:00,9651884539,XAUUSD,4066.79,4066.79,2026-07-21T10:00:39.044276+00:00,2026-07-21T10:00:39.144884+00:00,0.0,0.100608,False
2026-07-21T10:14:46.904138+00:00,9652108090,XAUUSD,4066.61,4066.61,2026-07-21T10:14:46.739013+00:00,2026-07-21T10:14:46.901928+00:00,0.0,0.162915,False
2026-07-21T11:16:10.387662+00:00,9653050176,XAUUSD,4059.61,4059.61,2026-07-21T11:16:10.221141+00:00,2026-07-21T11:16:10.385421+00:00,0.0,0.16428,False
2026-07-21T11:35:22.217356+00:00,9653319668,XAUUSD,4059.4,4059.4,2026-07-21T11:35:22.129020+00:00,2026-07-21T11:35:22.214923+00:00,0.0,0.085903,False
2026-07-21T13:40:25.843535+00:00,9655842074,XAUUSD,4050.47,4050.89,2026-07-21T13:40:23.465918+00:00,2026-07-21T13:40:25.840946+00:00,0.42,2.375028,False
2026-07-21T14:20:44.115187+00:00,9656926349,XAUUSD,4063.6,4063.6,2026-07-21T14:20:44.027968+00:00,2026-07-21T14:20:44.113411+00:00,0.0,0.085443,False
2026-07-21T15:10:04.937083+00:00,9658061570,XAUUSD,4070.75,4070.75,2026-07-21T15:10:04.844797+00:00,2026-07-21T15:10:04.934809+00:00,0.0,0.090012,False
2026-07-21T15:16:09.281973+00:00,9658223905,XAUUSD,4076.27,4076.29,2026-07-21T15:16:09.143255+00:00,2026-07-21T15:16:09.279602+00:00,0.02,0.136347,False
2026-07-21T15:52:24.563088+00:00,9658982596,XAUUSD,4077.23,4077.4,2026-07-21T15:52:24.487983+00:00,2026-07-21T15:52:24.562519+00:00,0.17,0.074536,False
2026-07-21T22:45:34.496857+00:00,9662403786,XAUUSD,4082.92,4082.92,2026-07-21T22:45:34.393835+00:00,2026-07-21T22:45:34.495153+00:00,0.0,0.101318,False
2026-07-22T00:15:06.942913+00:00,9662969183,XAUUSD,4092.88,4092.88,2026-07-22T00:15:06.860255+00:00,2026-07-22T00:15:06.940958+00:00,0.0,0.080703,False
2026-07-22T00:17:08.961891+00:00,9663020582,XAUUSD,4096.66,4096.64,2026-07-22T00:17:08.796461+00:00,2026-07-22T00:17:08.959697+00:00,-0.02,0.163236,False
2026-07-22T00:40:20.533544+00:00,9663297309,XAUUSD,4093.3,4093.28,2026-07-22T00:40:20.333831+00:00,2026-07-22T00:40:20.532622+00:00,-0.02,0.198791,False
2026-07-22T01:06:34.888750+00:00,9663678833,XAUUSD,4114.9,4114.9,2026-07-22T01:06:34.814615+00:00,2026-07-22T01:06:34.887907+00:00,0.0,0.073292,False
2026-07-22T01:06:35.545992+00:00,9663678957,XAUUSD,4114.77,4114.77,2026-07-22T01:06:35.411867+00:00,2026-07-22T01:06:35.543048+00:00,0.0,0.131181,False
2026-07-22T03:06:30.656018+00:00,9665037120,XAUUSD,4136.8,4136.7,2026-07-22T03:06:30.544378+00:00,2026-07-22T03:06:30.653125+00:00,-0.1,0.108747,False
2026-07-22T03:06:31.232438+00:00,9665037209,XAUUSD,4136.7,4136.7,2026-07-22T03:06:31.148855+00:00,2026-07-22T03:06:31.230599+00:00,0.0,0.081744,False
2026-07-22T04:10:04.577870+00:00,9665716670,XAUUSD,4128.54,4128.57,2026-07-22T04:10:04.475249+00:00,2026-07-22T04:10:04.574899+00:00,0.03,0.09965,False
2026-07-22T04:16:08.783753+00:00,9665775442,XAUUSD,4128.91,4128.91,2026-07-22T04:16:08.703247+00:00,2026-07-22T04:16:08.782048+00:00,0.0,0.078801,False
2026-07-22T06:45:24.438345+00:00,9667539951,XAUUSD,4119.56,4119.61,2026-07-22T06:45:24.348790+00:00,2026-07-22T06:45:24.436141+00:00,0.05,0.087351,False
2026-07-22T07:12:42.069890+00:00,9667913167,XAUUSD,4116.06,4116.06,2026-07-22T07:12:41.907676+00:00,2026-07-22T07:12:42.067876+00:00,0.0,0.1602,False
2026-07-22T10:10:16.027499+00:00,9670561813,XAUUSD,4116.96,4116.96,2026-07-22T10:10:15.939353+00:00,2026-07-22T10:10:16.026212+00:00,0.0,0.086859,False
2026-07-22T12:18:25.014455+00:00,9672464579,XAUUSD,4127.38,4127.38,2026-07-22T12:18:24.922225+00:00,2026-07-22T12:18:25.011926+00:00,0.0,0.089701,False
2026-07-22T12:20:26.998740+00:00,9672510168,XAUUSD,4128.11,4128.25,2026-07-22T12:20:26.917495+00:00,2026-07-22T12:20:26.997692+00:00,0.14,0.080197,False
2026-07-22T12:23:29.472004+00:00,9672586760,XAUUSD,4128.85,4128.84,2026-07-22T12:23:29.365603+00:00,2026-07-22T12:23:29.469822+00:00,-0.01,0.104219,False
2026-07-22T12:24:30.866870+00:00,9672606766,XAUUSD,4129.27,4129.31,2026-07-22T12:24:30.735152+00:00,2026-07-22T12:24:30.864653+00:00,0.04,0.129501,False
2026-07-22T12:39:34.720966+00:00,9672968545,XAUUSD,4128.3,4128.29,2026-07-22T12:39:34.601828+00:00,2026-07-22T12:39:34.718986+00:00,-0.01,0.117158,False
2026-07-22T13:13:51.185060+00:00,9673824878,XAUUSD,4124.13,4124.13,2026-07-22T13:13:51.109225+00:00,2026-07-22T13:13:51.184126+00:00,0.0,0.074901,False
2026-07-22T13:35:03.312245+00:00,9674479032,XAUUSD,4142.45,4143.18,2026-07-22T13:35:02.546030+00:00,2026-07-22T13:35:03.308816+00:00,0.73,0.762786,False
2026-07-22T14:20:27.076236+00:00,9675923398,XAUUSD,4150.3,4150.4,2026-07-22T14:20:26.714473+00:00,2026-07-22T14:20:27.075026+00:00,0.1,0.360553,False
2026-07-22T15:28:57.764314+00:00,9677350550,XAUUSD,4157.73,4157.73,2026-07-22T15:28:57.686152+00:00,2026-07-22T15:28:57.763648+00:00,0.0,0.077496,False
2026-07-22T16:40:59.815294+00:00,9678672321,XAUUSD,4150.3,4150.3,2026-07-22T16:40:59.716175+00:00,2026-07-22T16:40:59.814674+00:00,0.0,0.098499,False
2026-07-22T17:15:23.856660+00:00,9679165202,XAUUSD,4146.06,4146.06,2026-07-22T17:15:23.771423+00:00,2026-07-22T17:15:23.856027+00:00,0.0,0.084604,False
2026-07-22T17:45:48.209450+00:00,9679629945,XAUUSD,4141.84,4141.84,2026-07-22T17:45:48.131757+00:00,2026-07-22T17:45:48.208847+00:00,0.0,0.07709,False
2026-07-22T19:21:43.841795+00:00,9680703498,XAUUSD,4132.29,4132.31,2026-07-22T19:21:43.747935+00:00,2026-07-22T19:21:43.838999+00:00,0.02,0.091064,False
2026-07-22T22:50:39.225426+00:00,9681703442,XAUUSD,4121.85,4121.92,2026-07-22T22:50:39.141609+00:00,2026-07-22T22:50:39.223025+00:00,0.07,0.081416,False
2026-07-22T23:13:53.382378+00:00,9681876478,XAUUSD,4123.19,4123.19,2026-07-22T23:13:53.297097+00:00,2026-07-22T23:13:53.379865+00:00,0.0,0.082768,False
2026-07-22T23:56:18.214425+00:00,9682131401,XAUUSD,4132.62,4132.62,2026-07-22T23:56:18.129183+00:00,2026-07-22T23:56:18.211695+00:00,0.0,0.082512,False
2026-07-23T00:36:41.018620+00:00,9682435564,XAUUSD,4132.05,4132.05,2026-07-23T00:36:40.936666+00:00,2026-07-23T00:36:41.017704+00:00,0.0,0.081038,False
2026-07-23T01:29:14.702540+00:00,9682941711,XAUUSD,4137.55,4137.53,2026-07-23T01:29:14.582239+00:00,2026-07-23T01:29:14.700646+00:00,-0.02,0.118407,False
2026-07-23T01:56:33.028132+00:00,9683281635,XAUUSD,4115.72,4115.83,2026-07-23T01:56:32.948286+00:00,2026-07-23T01:56:33.027457+00:00,0.11,0.079171,False
2026-07-23T02:47:09.767819+00:00,9683799126,XAUUSD,4124.92,4124.92,2026-07-23T02:47:09.688874+00:00,2026-07-23T02:47:09.767055+00:00,0.0,0.078181,False
2026-07-23T03:17:16.777502+00:00,9684077969,XAUUSD,4129.86,4129.86,2026-07-23T03:17:16.672109+00:00,2026-07-23T03:17:16.775971+00:00,0.0,0.103862,False
2026-07-23T06:15:44.382446+00:00,9685852974,XAUUSD,4123.63,4123.66,2026-07-23T06:15:44.300762+00:00,2026-07-23T06:15:44.379289+00:00,0.03,0.078527,False
2026-07-23T07:07:18.660502+00:00,9686554421,XAUUSD,4113.09,4113.07,2026-07-23T07:07:18.577045+00:00,2026-07-23T07:07:18.658746+00:00,-0.02,0.081701,False
2026-07-23T07:32:36.872774+00:00,9687104501,XAUUSD,4102.73,4102.73,2026-07-23T07:32:36.795092+00:00,2026-07-23T07:32:36.871962+00:00,0.0,0.07687,False
2026-07-23T07:55:55.147465+00:00,9687650927,XAUUSD,4096.82,4095.93,2026-07-23T07:55:53.899027+00:00,2026-07-23T07:55:55.145666+00:00,-0.89,1.246639,False
2026-07-27T01:17:38.867022+00:00,57681697304,XAUUSD,4104.84,4104.79,2026-07-27T01:17:38.736775+00:00,2026-07-27T01:17:38.866029+00:00,-0.05,0.129254,False
2026-07-27T01:18:43.270609+00:00,57681711064,XAUUSD,4102.88,4102.88,2026-07-27T01:18:43.191300+00:00,2026-07-27T01:18:43.268994+00:00,0.0,0.077694,False
2026-07-27T03:28:59.567100+00:00,57683073948,XAUUSD,4086.28,4086.28,2026-07-27T03:28:59.486322+00:00,2026-07-27T03:28:59.566016+00:00,0.0,0.079694,False
2026-07-27T03:29:00.646593+00:00,57683074295,XAUUSD,4086.07,4086.06,2026-07-27T03:29:00.558932+00:00,2026-07-27T03:29:00.645897+00:00,-0.01,0.086965,False
2026-07-27T06:13:27.974868+00:00,57684941983,XAUUSD,4094.16,4094.16,2026-07-27T06:13:27.898164+00:00,2026-07-27T06:13:27.973903+00:00,0.0,0.075739,False
2026-07-27T07:39:12.083546+00:00,57686271309,XAUUSD,4098.77,4098.76,2026-07-27T07:39:11.957343+00:00,2026-07-27T07:39:12.082278+00:00,-0.01,0.124935,False
2026-07-27T07:39:12.812759+00:00,57686271529,XAUUSD,4098.74,4098.76,2026-07-27T07:39:12.719204+00:00,2026-07-27T07:39:12.811888+00:00,0.02,0.092684,False
2026-07-27T10:32:35.648798+00:00,57688960219,XAUUSD,4095.54,4095.53,2026-07-27T10:32:35.562752+00:00,2026-07-27T10:32:35.647611+00:00,-0.01,0.084859,False
2026-07-27T12:20:20.780178+00:00,57690875179,XAUUSD,4084.03,4083.42,2026-07-27T12:20:20.430010+00:00,2026-07-27T12:20:20.779308+00:00,-0.61,0.349298,False
2026-07-27T12:22:22.467171+00:00,57690932168,XAUUSD,4081.85,4081.97,2026-07-27T12:22:22.380179+00:00,2026-07-27T12:22:22.465076+00:00,0.12,0.084897,False
2026-07-27T14:48:03.070007+00:00,57694489491,XAUUSD,4072.3,4072.32,2026-07-27T14:48:02.699607+00:00,2026-07-27T14:48:03.068778+00:00,0.02,0.369171,False
2026-07-27T15:24:15.905464+00:00,57695188886,XAUUSD,4075.94,4075.87,2026-07-27T15:24:15.606948+00:00,2026-07-27T15:24:15.903131+00:00,-0.07,0.296183,False
2026-07-27T16:49:52.855001+00:00,57696812671,XAUUSD,4084.33,4084.31,2026-07-27T16:49:52.769886+00:00,2026-07-27T16:49:52.853134+00:00,-0.02,0.083248,False
2026-07-27T16:49:53.422838+00:00,57696812787,XAUUSD,4084.22,4084.24,2026-07-27T16:49:53.324167+00:00,2026-07-27T16:49:53.420893+00:00,0.02,0.096726,False
2026-07-27T18:04:25.674325+00:00,57697917129,XAUUSD,4078.15,4078.15,2026-07-27T18:04:25.594202+00:00,2026-07-27T18:04:25.671015+00:00,0.0,0.076813,False
2026-07-27T22:00:07.375736+00:00,57699468689,XAUUSD,4075.65,4075.65,2026-07-27T22:00:06.965199+00:00,2026-07-27T22:00:07.373157+00:00,0.0,0.407958,False
2026-07-28T00:05:56.524176+00:00,57700103248,XAUUSD,4063.35,4063.36,2026-07-28T00:05:56.445197+00:00,2026-07-28T00:05:56.522340+00:00,0.01,0.077143,False
2026-07-28T00:05:57.079918+00:00,57700103460,XAUUSD,4063.41,4063.43,2026-07-28T00:05:57.006661+00:00,2026-07-28T00:05:57.079081+00:00,0.02,0.07242,False
2026-07-28T01:02:22.699563+00:00,57700635150,XAUUSD,4056.9,4056.76,2026-07-28T01:02:22.456629+00:00,2026-07-28T01:02:22.697591+00:00,-0.14,0.240962,False
2026-07-28T02:21:01.474873+00:00,57701482608,XAUUSD,4048.7,4048.68,2026-07-28T02:21:01.394873+00:00,2026-07-28T02:21:01.471296+00:00,-0.02,0.076423,False
2026-07-28T02:25:04.175317+00:00,57701514528,XAUUSD,4046.95,4047.1,2026-07-28T02:25:03.915265+00:00,2026-07-28T02:25:04.174313+00:00,0.15,0.259048,False
2026-07-28T03:05:22.616489+00:00,57701882674,XAUUSD,4043.35,4043.33,2026-07-28T03:05:22.525925+00:00,2026-07-28T03:05:22.613762+00:00,-0.02,0.087837,False
2026-07-28T10:00:30.921912+00:00,57707914187,XAUUSD,4021.9,4021.9,2026-07-28T10:00:30.835708+00:00,2026-07-28T10:00:30.919533+00:00,0.0,0.083825,False
2026-07-28T11:19:04.969582+00:00,57709343927,XAUUSD,4030.86,4030.9,2026-07-28T11:19:04.888717+00:00,2026-07-28T11:19:04.966819+00:00,0.04,0.078102,False
2026-07-28T14:35:21.333865+00:00,57713408673,XAUUSD,4019.96,4019.86,2026-07-28T14:35:20.803134+00:00,2026-07-28T14:35:21.331844+00:00,-0.1,0.52871,False
2026-07-28T14:54:30.960837+00:00,57713792937,XAUUSD,4029.1,4029.02,2026-07-28T14:54:29.713944+00:00,2026-07-28T14:54:30.958422+00:00,-0.08,1.244478,False
2026-07-28T15:32:44.992607+00:00,57714712182,XAUUSD,4033.12,4033.05,2026-07-28T15:32:44.452303+00:00,2026-07-28T15:32:44.990236+00:00,-0.07,0.537933,False
2026-07-28T15:32:45.928376+00:00,57714712663,XAUUSD,4033.18,4033.25,2026-07-28T15:32:45.479698+00:00,2026-07-28T15:32:45.925882+00:00,0.07,0.446184,False
2026-07-28T16:15:07.175187+00:00,57715594139,XAUUSD,4044.74,4044.82,2026-07-28T16:15:06.851152+00:00,2026-07-28T16:15:07.172942+00:00,0.08,0.32179,False
2026-07-28T17:35:43.841244+00:00,57716811351,XAUUSD,4034.47,4034.49,2026-07-28T17:35:43.746022+00:00,2026-07-28T17:35:43.838270+00:00,0.02,0.092248,False
2026-07-28T17:36:45.602116+00:00,57716832277,XAUUSD,4033.33,4033.33,2026-07-28T17:36:45.498067+00:00,2026-07-28T17:36:45.599852+00:00,0.0,0.101785,False
2026-07-28T18:35:06.689721+00:00,57717611662,XAUUSD,4024.22,4024.24,2026-07-28T18:35:06.599499+00:00,2026-07-28T18:35:06.687914+00:00,0.02,0.088415,False
2026-07-28T22:22:46.315581+00:00,57718773324,XAUUSD,4020.33,4020.33,2026-07-28T22:22:46.237360+00:00,2026-07-28T22:22:46.313052+00:00,0.0,0.075692,False
2026-07-28T22:23:48.457541+00:00,57718783300,XAUUSD,4019.4,4019.4,2026-07-28T22:23:48.376697+00:00,2026-07-28T22:23:48.455747+00:00,0.0,0.07905,False
2026-07-31T00:28:40.636347+00:00,57764291554,XAUUSD,4097.52,4097.52,2026-07-31T00:28:40.530441+00:00,2026-07-31T00:28:40.635016+00:00,0.0,0.104575,False
2026-07-31T01:34:18.398990+00:00,57764975475,XAUUSD,4087.11,4087.11,2026-07-31T01:34:18.300926+00:00,2026-07-31T01:34:18.397048+00:00,0.0,0.096122,False
2026-07-31T02:43:46.556266+00:00,57765658338,XAUUSD,4076.37,4076.37,2026-07-31T02:43:46.470283+00:00,2026-07-31T02:43:46.554093+00:00,0.0,0.08381,False
2026-07-31T06:16:32.920837+00:00,57767943161,XAUUSD,4084.25,4084.27,2026-07-31T06:16:32.771403+00:00,2026-07-31T06:16:32.919221+00:00,0.02,0.147818,False
2026-07-31T06:47:48.219717+00:00,0,XAUUSD,4081.52,,2026-07-31T06:47:48.215662+00:00,,,,True
2026-07-31T06:48:48.688703+00:00,0,XAUUSD,4081.52,,2026-07-31T06:48:48.687376+00:00,,,,True
2026-07-31T06:49:49.181724+00:00,0,XAUUSD,4081.52,,2026-07-31T06:49:49.180618+00:00,,,,True
2026-07-31T06:50:49.655432+00:00,0,XAUUSD,4081.52,,2026-07-31T06:50:49.654261+00:00,,,,True
2026-07-31T06:51:50.220082+00:00,0,XAUUSD,4081.52,,2026-07-31T06:51:50.219007+00:00,,,,True
2026-07-31T06:52:50.707858+00:00,0,XAUUSD,4081.52,,2026-07-31T06:52:50.706587+00:00,,,,True
2026-07-31T06:53:51.179384+00:00,0,XAUUSD,4081.52,,2026-07-31T06:53:51.178360+00:00,,,,True
2026-07-31T06:54:51.677786+00:00,0,XAUUSD,4081.52,,2026-07-31T06:54:51.676534+00:00,,,,True
2026-07-31T06:55:52.179631+00:00,0,XAUUSD,4081.52,,2026-07-31T06:55:52.178396+00:00,,,,True
2026-07-31T07:42:15.069924+00:00,57769108796,XAUUSD,4073.33,4073.33,2026-07-31T07:42:14.922067+00:00,2026-07-31T07:42:15.067793+00:00,0.0,0.145726,False
2026-07-31T10:00:25.036963+00:00,57771472437,XAUUSD,4053.41,4053.41,2026-07-31T10:00:24.938925+00:00,2026-07-31T10:00:25.034458+00:00,0.0,0.095533,False
2026-07-31T15:52:16.361370+00:00,57778797743,XAUUSD,4043.76,4043.69,2026-07-31T15:52:16.145482+00:00,2026-07-31T15:52:16.359352+00:00,-0.07,0.21387,False
2026-07-31T16:50:45.562943+00:00,57779739545,XAUUSD,4044.58,4044.58,2026-07-31T16:50:45.476272+00:00,2026-07-31T16:50:45.562142+00:00,0.0,0.08587,False
2026-07-31T17:51:15.829212+00:00,57780714462,XAUUSD,4053.51,4053.84,2026-07-31T17:51:15.316808+00:00,2026-07-31T17:51:15.828119+00:00,0.33,0.511311,False
2026-08-06T10:12:05.229941+00:00,57857116232,XAUUSD,4268.94,4268.84,2026-08-06T10:12:05.136308+00:00,2026-08-06T10:12:05.229109+00:00,-0.1,0.092801,False
2026-08-06T13:09:30.098929+00:00,57860811929,XAUUSD,4233.59,4233.4,2026-08-06T13:09:29.972253+00:00,2026-08-06T13:09:30.097173+00:00,-0.19,0.12492,False
2026-08-06T13:38:44.456364+00:00,57861680260,XAUUSD,4264.33,4264.85,2026-08-06T13:38:44.312289+00:00,2026-08-06T13:38:44.455316+00:00,0.52,0.143027,False
2026-08-06T13:38:45.413582+00:00,57861681752,XAUUSD,4265.21,4265.29,2026-08-06T13:38:45.173424+00:00,2026-08-06T13:38:45.412822+00:00,0.08,0.239398,False
2026-08-06T16:27:16.918088+00:00,57865915484,XAUUSD,4229.23,4229.32,2026-08-06T16:27:16.755467+00:00,2026-08-06T16:27:16.917099+00:00,0.09,0.161632,False
